code,date,price
155660,2021-04-05,6020
155660,2021-04-02,5860
155660,2021-04-01,5690
155660,2021-03-31,5680
155660,2021-03-30,5580
155660,2021-03-29,5510
155660,2021-03-26,5450
155660,2021-03-25,5450
155660,2021-03-24,5490
155660,2021-03-23,5510
155660,2021-03-22,5610
155660,2021-03-19,5600
155660,2021-03-18,5350
155660,2021-03-17,5360
155660,2021-03-16,5370
155660,2021-03-15,5320
155660,2021-03-12,5330
155660,2021-03-11,5270
155660,2021-03-10,5150
155660,2021-03-09,5200
155660,2021-03-08,5250
155660,2021-03-05,5380
155660,2021-03-04,5420
155660,2021-03-03,5360
155660,2021-03-02,5410
155660,2021-02-26,5410
155660,2021-02-25,5600
155660,2021-02-24,5470
155660,2021-02-23,5700
155660,2021-02-22,5890
001250,2021-04-05,2415
001250,2021-04-02,2405
001250,2021-04-01,2450
001250,2021-03-31,2500
001250,2021-03-30,2375
001250,2021-03-29,2390
001250,2021-03-26,2360
001250,2021-03-25,2360
001250,2021-03-24,2380
001250,2021-03-23,2360
001250,2021-03-22,2420
001250,2021-03-19,2450
001250,2021-03-18,2400
001250,2021-03-17,2385
001250,2021-03-16,2370
001250,2021-03-15,2375
001250,2021-03-12,2295
001250,2021-03-11,2245
001250,2021-03-10,2220
001250,2021-03-09,2230
001250,2021-03-08,2255
001250,2021-03-05,2275
001250,2021-03-04,2275
001250,2021-03-03,2235
001250,2021-03-02,2195
001250,2021-02-26,2195
001250,2021-02-25,2300
001250,2021-02-24,2250
001250,2021-02-23,2380
001250,2021-02-22,2440
294870,2021-04-05,29350
294870,2021-04-02,28700
294870,2021-04-01,28900
294870,2021-03-31,29350
294870,2021-03-30,29100
294870,2021-03-29,29900
294870,2021-03-26,30050
294870,2021-03-25,29200
294870,2021-03-24,29200
294870,2021-03-23,29000
294870,2021-03-22,28500
294870,2021-03-19,27800
294870,2021-03-18,28100
294870,2021-03-17,28350
294870,2021-03-16,28650
294870,2021-03-15,28500
294870,2021-03-12,27400
294870,2021-03-11,26950
294870,2021-03-10,26200
294870,2021-03-09,27100
294870,2021-03-08,25750
294870,2021-03-05,25800
294870,2021-03-04,26400
294870,2021-03-03,26850
294870,2021-03-02,26800
294870,2021-02-26,26800
294870,2021-02-25,27500
294870,2021-02-24,26650
294870,2021-02-23,27500
294870,2021-02-22,27600
092220,2021-04-05,2405
092220,2021-04-02,2340
092220,2021-04-01,2360
092220,2021-03-31,2325
092220,2021-03-30,2320
092220,2021-03-29,2370
092220,2021-03-26,2300
092220,2021-03-25,2230
092220,2021-03-24,2210
092220,2021-03-23,2275
092220,2021-03-22,2260
092220,2021-03-19,2315
092220,2021-03-18,2360
092220,2021-03-17,2305
092220,2021-03-16,2345
092220,2021-03-15,2330
092220,2021-03-12,2375
092220,2021-03-11,2360
092220,2021-03-10,2285
092220,2021-03-09,2300
092220,2021-03-08,2290
092220,2021-03-05,2370
092220,2021-03-04,2440
092220,2021-03-03,2480
092220,2021-03-02,2480
092220,2021-02-26,2500
092220,2021-02-25,2640
092220,2021-02-24,2610
092220,2021-02-23,2790
092220,2021-02-22,2830
016380,2021-04-05,14600
016380,2021-04-02,14150
016380,2021-04-01,14550
016380,2021-03-31,15300
016380,2021-03-30,15100
016380,2021-03-29,14400
016380,2021-03-26,13050
016380,2021-03-25,12700
016380,2021-03-24,12450
016380,2021-03-23,12450
016380,2021-03-22,12900
016380,2021-03-19,13050
016380,2021-03-18,13050
016380,2021-03-17,12850
016380,2021-03-16,12850
016380,2021-03-15,13000
016380,2021-03-12,12850
016380,2021-03-11,12650
016380,2021-03-10,12250
016380,2021-03-09,12850
016380,2021-03-08,12600
016380,2021-03-05,12300
016380,2021-03-04,12300
016380,2021-03-03,12100
016380,2021-03-02,11850
016380,2021-02-26,11900
016380,2021-02-25,12250
016380,2021-02-24,11800
016380,2021-02-23,12350
016380,2021-02-22,12150
001390,2021-04-05,27350
001390,2021-04-02,26850
001390,2021-04-01,26650
001390,2021-03-31,27000
001390,2021-03-30,27250
001390,2021-03-29,28100
001390,2021-03-26,26950
001390,2021-03-25,25900
001390,2021-03-24,25250
001390,2021-03-23,24950
001390,2021-03-22,25600
001390,2021-03-19,25550
001390,2021-03-18,25600
001390,2021-03-17,25800
001390,2021-03-16,25950
001390,2021-03-15,25150
001390,2021-03-12,25400
001390,2021-03-11,25000
001390,2021-03-10,24350
001390,2021-03-09,25300
001390,2021-03-08,25650
001390,2021-03-05,25850
001390,2021-03-04,26450
001390,2021-03-03,26950
001390,2021-03-02,27250
001390,2021-02-26,28450
001390,2021-02-25,28850
001390,2021-02-24,25900
001390,2021-02-23,27400
001390,2021-02-22,27650
058860,2021-04-05,3045
058860,2021-04-02,3120
058860,2021-04-01,2970
058860,2021-03-31,3015
058860,2021-03-30,3055
